,CO,O3,NO2,SO2,PM10,PM2.5,AQI
1397/10/11,18,23,120,7,57,77,77
1397/10/12,42,16,117,11,,86,86
1397/10/13,32,3,124,13,71,130,130
1397/10/14,29,8,108,9,38,91,91
1397/10/15,44,17,119,10,61,115,115
1397/10/16,27,11,112,16,77,152,152
1397/10/17,30,13,115,12,68,131,131
1397/10/18,27,24,111,6,77,77,77
1397/10/19,23,16,110,9,74,98,98
1397/10/20,17,29,103,7,55,63,63
1397/10/21,28,18,107,12,47,62,62
1397/10/22,21,20,102,9,55,83,83
1397/10/23,28,17,114,14,62,108,108
1397/10/24,36,9,,16,63,124,124
1397/10/25,30,15,108,16,61,114,114
1397/10/26,77,33,119,12,55,76,77
1397/10/27,17,17,110,10,51,86,86
1397/10/28,14,19,103,5,23,44,44
1397/10/29,22,30,102,7,50,63,63
1397/10/30,25,11,106,11,60,92,92
1397/11/01,28,13,112,14,78,148,148
1397/11/02,28,18,115,11,68,123,123
1397/11/03,31,17,117,15,80,139,139
1397/11/04,25,19,113,16,80,155,155
1397/11/05,35,21,,13,75,141,141
1397/11/06,23,19,105,7,65,88,88
1397/11/07,48,23,113,12,103,124,124
1397/11/08,21,16,111,10,82,112,112
1397/11/09,33,20,105,8,56,102,102
1397/11/10,21,25,103,5,26,45,45
1397/11/11,40,17,113,12,66,121,121
1397/11/12,16,30,111,7,54,83,83
1397/11/13,27,34,108,7,43,45,45
1397/11/14,27,16,105,7,47,62,62
1397/11/15,23,14,102,8,40,70,70
1397/11/16,21,22,103,6,35,56,56
1397/11/17,24,26,116,11,54,105,105
1397/11/18,39,19,119,11,70,124,124
1397/11/19,31,19,117,15,79,153,153
1397/11/20,32,19,116,14,79,159,159
1397/11/21,23,23,111,9,57,128,128
1397/11/22,22,28,104,7,39,76,76
1397/11/23,20,13,97,5,28,65,65
1397/11/24,30,21,107,10,44,70,70
1397/11/25,29,24,108,9,57,106,106
1397/11/26,28,28,102,16,67,142,142
1397/11/27,23,33,72,8,41,83,83
1397/11/28,9,33,45,4,18,27,33
1397/11/29,26,28,73,8,32,54,54
1397/11/30,15,28,54,7,39,70,70
1397/12/01,26,22,58,11,39,63,63
1397/12/02,18,27,68,10,50,85,85
1397/12/03,19,28,66,15,46,74,74
1397/12/04,33,31,86,8,39,71,71
1397/12/05,39,27,83,8,47,69,69
1397/12/06,17,31,83,12,51,102,102
1397/12/07,23,29,72,16,56,115,115
1397/12/08,38,27,80,10,60,88,88
1397/12/09,22,26,62,8,50,85,85
1397/12/10,21,28,66,5,29,57,57
1397/12/11,13,25,57,7,34,50,50
1397/12/12,14,22,61,9,29,58,58
1397/12/13,34,21,70,11,50,79,79
1397/12/14,13,29,60,9,39,73,73
1397/12/15,26,26,81,11,54,95,95
1397/12/16,30,28,80,12,52,88,88
1397/12/17,22,31,78,6,33,62,62
1397/12/18,15,29,57,5,29,44,44
1397/12/19,22,20,77,13,57,107,107
1397/12/20,23,29,99,17,59,115,115
1397/12/21,37,27,103,14,62,112,112
1397/12/22,42,33,93,14,59,107,107
1397/12/23,74,30,102,15,67,110,110
1397/12/24,14,33,71,6,52,64,64
1397/12/25,25,30,74,7,45,71,71
1397/12/26,59,30,82,12,74,91,91
1397/12/27,14,29,64,4,32,,32
1397/12/28,29,24,77,9,29,62,62
1397/12/29,22,33,67,7,54,120,120
1398/01/01,18,32,66,7,,57,57
1398/01/02,17,29,55,7,16,50,50
1398/01/03,27,31,82,7,36,86,86
1398/01/04,11,33,54,6,,53,53
1398/01/05,10,28,43,5,27,62,62
1398/01/06,18,17,51,5,,54,54
1398/01/07,33,21,67,5,19,45,45
1398/01/08,11,29,53,3,11,32,32
1398/01/09,10,29,52,5,,55,55
1398/01/10,10,32,50,5,15,45,45
1398/01/11,17,29,66,5,24,58,58
1398/01/12,13,27,49,4,18,42,42
1398/01/13,19,32,54,5,30,57,57
1398/01/14,22,34,66,4,18,40,40
1398/01/15,30,34,80,6,28,48,48
1398/01/16,26,37,90,6,43,66,66
1398/01/17,19,37,75,5,51,76,76
1398/01/18,27,29,58,6,36,64,64
1398/01/19,25,29,76,6,34,72,72
1398/01/20,16,29,58,5,,60,60
1398/01/21,15,40,62,4,28,62,62
1398/01/22,48,,74,9,42,71,71
1398/01/23,21,37,62,4,38,66,66
1398/01/24,21,,58,5,28,58,58
1398/01/25,24,,80,6,34,67,67
1398/01/26,23,,76,8,31,57,57
1398/01/27,29,,64,11,56,73,73
1398/01/28,34,,71,11,57,84,84
1398/01/29,24,,58,7,67,86,86
1398/01/30,14,,63,5,51,71,71
1398/01/31,41,,80,7,44,74,74
1398/02/01,23,,78,5,38,54,54
1398/02/02,22,,78,6,38,55,55
1398/02/03,14,,67,6,40,67,67
1398/02/04,16,,60,5,33,63,63
1398/02/05,16,,61,8,37,66,66
1398/02/06,12,,67,6,41,68,68
1398/02/07,28,,82,7,39,71,71
1398/02/08,26,,88,6,43,69,69
1398/02/09,24,,94,8,47,65,65
1398/02/10,48,,85,10,54,88,88
1398/02/11,41,37,76,8,37,70,70
1398/02/12,54,60,103,11,56,100,100
1398/02/13,29,51,80,7,69,108,108
1398/02/14,27,32,61,9,71,102,102
1398/02/15,28,36,89,6,58,82,82
1398/02/16,37,40,90,8,64,95,95
1398/02/17,43,43,102,8,44,66,66
1398/02/18,12,36,76,4,67,92,92
1398/02/19,19,39,73,5,51,71,71
1398/02/20,12,44,47,4,57,78,78
1398/02/21,33,41,85,7,55,74,74
1398/02/22,41,39,65,7,52,61,61
1398/02/23,32,,83,7,34,56,56
1398/02/24,13,,56,6,45,69,69
1398/02/25,14,48,67,4,48,68,68
1398/02/26,13,,54,5,42,66,66
1398/02/27,23,,59,8,47,69,69
1398/02/28,20,,58,6,36,66,66
1398/02/29,25,,78,9,47,72,72
1398/02/30,11,,58,6,55,88,88
1398/02/31,17,,79,8,62,95,95
1398/03/01,10,45,68,,54,83,83
1398/03/02,10,52,69,,30,70,70
1398/03/03,45,125,102,,55,114,125
1398/03/04,34,65,55,7,56,99,99
1398/03/05,38,56,67,6,66,101,101
1398/03/06,44,,64,,58,91,91
1398/03/07,34,,70,7,58,98,98
1398/03/08,20,,74,7,54,89,89
1398/03/09,12,53,65,6,59,90,90
1398/03/10,10,76,55,6,52,73,76
1398/03/11,13,90,57,5,47,74,90
1398/03/12,12,97,59,8,50,76,97
1398/03/13,34,121,94,7,53,90,121
1398/03/14,38,114,100,8,53,89,114
1398/03/15,38,104,100,6,46,87,104
1398/03/16,27,89,74,6,32,,89
1398/03/17,33,70,92,6,40,82,82
1398/03/18,20,55,85,7,45,92,92
1398/03/19,15,83,84,6,54,94,94
1398/03/20,19,57,71,10,71,109,109
1398/03/21,13,112,65,7,70,110,112
1398/03/22,14,90,61,8,59,97,97
1398/03/23,21,60,77,6,49,85,85
1398/03/24,40,50,79,8,49,90,90
1398/03/25,20,96,77,6,55,93,96
1398/03/26,32,53,102,6,50,93,93
1398/03/27,52,58,102,9,56,101,101
1398/03/28,46,64,89,7,57,102,102
1398/03/29,47,102,101,9,67,121,121
1398/03/30,18,73,82,8,67,108,108
1398/03/31,54,54,76,9,63,109,109
1398/04/01,20,62,82,6,71,108,108
1398/04/02,39,79,105,9,75,128,128
1398/04/03,52,81,99,10,67,114,114
1398/04/04,40,48,85,5,56,104,104
1398/04/05,31,67,70,8,60,110,110
1398/04/06,40,90,101,11,66,114,114
1398/04/07,31,48,92,8,56,103,103
1398/04/08,53,63,90,9,55,103,103
1398/04/09,58,83,103,8,69,130,130
1398/04/10,50,108,111,9,79,131,131
1398/04/11,13,98,72,8,94,108,108
1398/04/12,24,54,81,14,86,126,126
1398/04/13,34,72,64,8,81,125,125
1398/04/14,76,80,104,12,83,135,135
1398/04/15,48,66,89,10,71,122,122
1398/04/16,42,67,80,7,77,118,118
1398/04/17,24,76,84,8,81,119,119
1398/04/18,58,90,101,13,78,,90
1398/04/19,15,137,83,6,78,116,137
1398/04/20,20,58,94,7,76,115,115
1398/04/21,31,98,76,9,65,107,107
1398/04/22,46,83,97,8,64,106,106
1398/04/23,42,131,86,9,65,111,131
1398/04/24,53,108,88,9,75,112,112
1398/04/25,29,56,80,4,61,101,101
1398/04/26,18,38,57,5,61,91,91
1398/04/27,23,44,67,6,57,89,89
1398/04/28,48,56,73,7,54,88,88
1398/04/29,40,88,87,10,55,91,91
1398/04/30,38,81,78,10,63,106,106
1398/04/31,29,51,84,7,60,91,91
1398/05/01,32,43,64,7,57,87,87
1398/05/02,28,99,75,7,54,90,99
1398/05/03,49,88,96,11,65,102,102
1398/05/04,59,95,98,12,59,102,102
1398/05/05,38,98,82,15,65,104,104
1398/05/06,17,41,50,6,55,94,94
1398/05/07,26,48,75,8,81,126,126
1398/05/08,33,91,75,9,65,120,120
1398/05/09,54,96,96,9,62,,96
