,T_Max,T_Avg,T_Min,D_Max,D_Avg,D_Min,H_Max,H_Avg,H_Min,W_Max,W_Avg,W_Min,P_Max,P_Avg,P_Min,Rain,HOLS
1/1/2019 0:00,50,44,37,25,20.9,14,60,40.8,30,23,10.4,0,26.2,26.1,26.1,0,0
1/2/2019 0:00,50,44.3,37,32,22.5,18,66,43.5,28,7,2.6,0,26.2,26.1,26.1,0,0
1/3/2019 0:00,46,38.8,34,37,33.9,30,93,83.3,66,18,6.7,0,26.1,26,26,0.61,0.2
1/4/2019 0:00,52,41,34,32,27.8,21,87,62,30,16,3,0,26.2,26.1,26.1,0,1
1/5/2019 0:00,52,42.2,32,34,28.6,21,81,60.4,33,7,3.5,0,26.2,26.1,26.1,0,0
1/6/2019 0:00,48,42.7,39,34,30.8,27,81,63.7,46,9,4.5,0,26.1,26,25.9,0.01,0
1/7/2019 0:00,54,46.1,37,32,21.6,10,75,40.8,24,30,11.3,0,26.1,25.9,25.9,0,0
1/8/2019 0:00,52,43,34,25,20.1,7,56,42,16,12,3.3,0,26.1,26.1,26,0,0
1/9/2019 0:00,54,45.6,41,27,23,12,53,41.3,28,23,7.7,0,26,26,25.9,0.01,0
1/10/2019 0:00,45,39.1,34,18,11.5,3,48,33.5,20,28,15.1,0,26.2,26.1,26,0,0.2
1/11/2019 0:00,45,38.8,32,21,17.4,14,64,43.2,31,9,4,0,26.2,26.2,26.1,0,1
1/12/2019 0:00,45,36.5,32,21,19.3,18,64,51.4,36,9,3.6,0,26.2,26.1,26.1,0,0
1/13/2019 0:00,43,37.3,32,34,23.9,18,81,59.7,36,9,4.5,0,26.1,26,25.9,0,0
1/14/2019 0:00,46,40.1,32,36,31.9,27,87,73.3,57,12,5.2,0,26,25.9,25.9,0.4,0
1/15/2019 0:00,57,48.3,39,36,23.6,14,81,41.8,20,18,9,0,26.1,26,25.9,0.01,0
1/16/2019 0:00,59,49.8,39,39,29,12,76,48.9,21,16,8.3,0,26.1,25.9,25.8,0.01,0
1/17/2019 0:00,50,42.4,32,43,34.8,27,93,75,61,39,14.3,0,25.9,25.7,25.6,13,0.2
1/18/2019 0:00,45,36.1,28,28,22.1,9,87,60.1,25,30,14.8,5,26,25.9,25.9,0,1
1/19/2019 0:00,41,34.5,28,23,18.7,14,75,53.1,38,14,4.8,0,26,26,25.9,0,0
1/20/2019 0:00,45,35.9,28,23,19.5,14,74,53.4,29,7,2.6,0,26.2,26.1,26,0,0
1/21/2019 0:00,45,37.6,30,21,17.7,14,56,45.3,34,9,3.4,0,26.2,26.1,26,0,0
1/22/2019 0:00,50,40.2,32,25,18.9,14,65,44.8,24,18,5.3,0,26,26,25.9,0,0
1/23/2019 0:00,48,42,32,25,22.6,19,70,47.5,32,9,4.5,0,26.2,26.1,26,0,0
1/24/2019 0:00,50,41.6,34,23,20.1,18,60,43.5,30,9,3.4,0,26.2,26.1,26.1,0,0.2
1/25/2019 0:00,54,44.9,36,32,24.9,19,65,46.6,30,18,7.5,0,26.1,26.1,26,0,1
1/26/2019 0:00,57,49,43,30,24.9,18,61,40.9,21,18,6.5,0,26.1,26.1,26.1,0,0
1/27/2019 0:00,59,53.8,43,41,29.7,23,67,41.2,27,12,5.6,0,26.1,26.1,26.1,0.01,0
1/28/2019 0:00,55,50.6,46,45,42,34,87,72.6,50,14,7.7,0,26.1,25.9,25.8,7.41,0
1/29/2019 0:00,55,47.1,39,43,33.7,23,87,61.8,33,39,15.1,0,26,25.9,25.8,4.4,0
1/30/2019 0:00,54,46.5,36,34,28.8,25,81,52.2,33,12,4.5,0,26.1,26.1,26,0,0
1/31/2019 0:00,57,50.5,41,30,27,25,61,41.1,29,16,4.8,0,26.1,26,26,0,0.2
2/1/2019 0:00,55,48.5,41,27,19.8,12,57,33.8,18,28,10.9,0,26.1,26,26,0,1
2/2/2019 0:00,55,48.9,43,28,21.9,16,53,35.6,21,14,7.2,0,26,26,25.9,0,0
2/3/2019 0:00,48,40.6,32,36,30.5,23,76,67.6,50,21,8.5,5,26.1,26,25.9,0.03,0
2/4/2019 0:00,46,40.1,32,27,22.7,16,75,51.8,31,16,10.2,0,26.3,26.2,26.1,0,0
2/5/2019 0:00,46,38.8,32,23,18.7,14,69,45.4,29,12,4.8,0,26.4,26.4,26.3,0,0
2/6/2019 0:00,50,40,0,19,15.1,0,52,36.5,0,12,3.4,0,26.4,26.3,26.2,0,0
2/7/2019 0:00,52,45.4,34,21,18.4,12,56,35.4,24,9,3.8,0,26.2,26.1,26.1,0,0.2
2/8/2019 0:00,54,48,41,25,20.4,16,53,34.6,24,9,2.7,0,26.1,26.1,26,0,1
2/9/2019 0:00,54,47.9,41,39,31.4,18,93,56.2,28,9,4.3,0,26.1,26,26,0.21,1
2/10/2019 0:00,55,47.2,39,39,30.7,18,93,57.5,24,21,7.5,0,26,26,25.9,1,0.3
2/11/2019 0:00,45,40.7,36,39,36.3,32,87,84.7,81,14,6.3,0,26,25.9,25.9,14.2,1
